label,text
1,Kappa
1,LUL
1,TriHard
1,PogChamp
1,Pog
1,Poggers
0,MonkaS
1,VoHiYo
1,KEKW
1,PepeLaugh
1,4Head
1,5Head
0,CmonBruh
1,Booba
1,<3
1,haHaa
1,SourPLS
0,MonkaW
1,PauseChamp
0,4Weird
0,Sadge
1,gachiGASM
0,Pepehands
1,Jebaited
1,COGGERS
1,MingLee
0,WeirdChamp
1,MonkaGIGA
1,GayPride
0,PJSalt
1,MonkaH
1,BlessRNG
1,NotLikeThis
0,BibleThump
0,SMOrc
0,MrDestructoid
1,MonkaHmm
0,FailFish
1,HeyGuys
0,SquadW
1,gachiBASS
1,PRChase
1,CurseLit
0,FeelsBadMan
1,FeelsGoodMan
1,Kreygasm
1,SwiftRage
1,PogU
1,TheIlluminati
0,DansGame
0,BabyRage
1,SabaPing
1,MorphinTime
1,ResidentSleeper
1,Seemsgood
0,monkaOMEGA
1,Wutface
1,AYAYA
1,TheThing
1,Keepo
0,BrokeBack
1,widepeepoHappy
1,CoolStoryBob
1,3Head
1,YEP
0,Pepega
1,KKona
1,FeelsBirthdayMan
