ID,SELECTED_TEXT,prompt,completion
1,Kappa,"Kappa is a Twitch emote that is generally used to relay sarcasm or as an “eye-roll” response to something the Twitch streamer says or does on screen. Known as a “troll” emote, Kappa is often spammed in chat when someone is sarcastic or checking to see if they have the Golden Kappa.",NEUTRAL
2,LUL,"The acronym LUL stands for “Lame Uncomfortable Laugh.” The LUL Twitch emote is used to express laughter and joy and depicts the late streamer, TotalBuscuit. It is often used on Twitch in the same way that you would use a laugh emote when messaging friends on other platforms.",POSITIVE
3,TriHard,The TriHard Twitch emote was created to be used when something exciting is happening on the screen or to help generate hype in a channel. It is the image of the streamer Trihex smiling. Use it when you’re hyped or when the streamer does something exciting.,POSITIVE
4,PogChamp,The PogChamp emote is used to express surprise or excitement,POSITIVE
5,Pog,The PogChamp emote is used to express surprise or excitement,POSITIVE
6,Poggers,The PogChamp emote is used to express surprise or excitement,POSITIVE
7,MonkaS,MonkaS is an emote that is often used in Twitch chat when the streamer is going through intense or stressful gameplay moments. It is often spammed to express anxiety when the streamer is upset or worried.,NEGATIVE
8,VoHiYo,VoHiYo is known by Twitch viewers as the “Weeb” (Weeaboo) emote. VoHiYo has often been used to either refer to someone as a weeb or in reference to anime in general. Others use it to say “Hello” as it was originally intended or at the end of a technical explanation.,NEUTRAL
9,KEKW,The emote is used as a laugh emote on Twitch.,NEUTRAL
10,PepeLaugh,The PepeLaugh emote is often accompanied by the phrase “Here it comes.” It is used as a laugh emote similar to LUL or the crying laughter emoji due to the image’s teary eyes.,NEUTRAL
11,4Head,The 4Head emote is used in response to jokes or memes. It can be used in both a sincere and in a sarcastic way and is often used after someone uses a dad joke or says something cheesy. People should be able to tell its usage with context.,NEUTRAL
12,5Head,"The 5Head emote is used when the chat, or viewers of a Twitch channel, want to tell the streamer that his statement or gameplay is very smart.",POSITIVE
13,CmonBruh,The CmonBruh emote is used as a look of confusion or as a response to racist comments. It is often used when someone in Twitch chat says something controversial or confusing.,NEGATIVE
14,Booba,The term is often used when boobs are showcased on the screen or as a way to call out or mock people who are hornyposting.,NEUTRAL
15,<3,"The Twitch heart emote is a “Twitch purple” colored heart. It is used to express love, happiness, unity, gratitude, or empathy.",POSITIVE
16,haHaa,It is commonly used on Twitch to express cringe or nervous laughter when something strangely weird happens on stream or in Twitch chat.,NEUTRAL
17,SourPLS,The SourPLS emote is used on Twitch to represent dancing or celebration. It is usually posted when someone is excited or happy about an event. It is also used as a hype emote. The happiness and joy presented in the emote are contagious.,POSITIVE
18,MonkaW,Often spammed when a streamer finds themself in an intense situation. It can also be used as mock worry.,NEGATIVE
19,PauseChamp,This emote is used in Twitch chat when the streamer chooses to build up suspense or there is a feeling of anticipation in the chat.,NEUTRAL
20,4Weird,"4Weird is used when something strange is happening that causes you to feel weird or become weirded out. It is typically used when someone says something that seems odd, stupid, or disturbing.",NEGATIVE
21,Sadge,The Sadge meaning is no different. It can be used when another member of the community types that a loved one died yesterday or it can be used at the end of a statement that is a bit cringe mixed with an ironic sense of humor.,NEGATIVE
22,gachiGASM,The gachiGASM emote is used when someone is intensely satisfied or pleased with an event on stream. It is also used as a meme reaction to attraction or suggestive content.,POSITIVE
23,Pepehands,The PepeHands emote is used on Twitch when a user is trying to signify sadness (or pretending to be sad) or when the streamer seems upset about something. It is used in the same ways that a sad emote can be used.,NEGATIVE
24,Jebaited,The Jebaited emote is used when people are baiting for gaming tips or other information. It is also used after a streamer has been Rick-Rolled or when someone trolls the streamer into an obvious joke.,NEUTRAL
25,COGGERS,It is used when a streamer does something cool or exciting.,POSITIVE
26,MingLee,The MingLee emote is used on Twitch to insinuate laughter or general sassiness. It can also be used in the same way that a general smiling or laughing emote can be used.,NEUTRAL
27,WeirdChamp,"The WeirdChamp emote is used when someone is disappointed or feels let down, usually from something the streamer has said or done. It is also used when somebody says something that seems unbelievable.",NEGATIVE
28,MonkaGIGA,"Used when someone is trying to convey anxiety, horror, or shock due to something that is happening on stream or in chat.",NEUTRAL
29,GayPride,Is used to identify oneself as either a part of the LGBTQ+ community or in support of it.,NEUTRAL
30,PJSalt,"This means they are upset, frustrated, or bitter about an event that happened on stream, in the chat, or even in a real-life situation.",NEGATIVE
31,MonkaH,It is generally used when someone surrenders after an argument or sees that the streamer has been beaten when it comes to strategy.,NEUTRAL
32,BlessRNG,Is used on Twitch to “bless a stream” in a tongue-in-cheek way or along with a religious reference.,NEUTRAL
33,NotLikeThis,Is used on Twitch when something on the stream is going terribly wrong or if a chatter tells a story about a rough event in their real-life or in their own gameplay. It is the perfect emote to use when things just seem to not be going your way.,NEUTRAL
