label,text
1,Kappa
2,LUL
2,TriHard
2,PogChamp
2,Pog
2,Poggers
0,MonkaS
1,VoHiYo
1,KEKW
1,PepeLaugh
1,4Head
2,5Head
0,CmonBruh
1,Booba
2,<3
1,haHaa
2,SourPLS
0,MonkaW
1,PauseChamp
0,4Weird
0,Sadge
2,gachiGASM
0,Pepehands
1,Jebaited
2,COGGERS
1,MingLee
0,WeirdChamp
1,MonkaGIGA
1,GayPride
0,PJSalt
1,MonkaH
1,BlessRNG
1,NotLikeThis
0,BibleThump
0,SMOrc
0,MrDestructoid
1,MonkaHmm
0,FailFish
1,HeyGuys
0,SquadW
2,gachiBASS
1,PRChase
2,CurseLit
0,FeelsBadMan
2,FeelsGoodMan
2,Kreygasm
1,SwiftRage
2,PogU
1,TheIlluminati
0,DansGame
0,BabyRage
1,SabaPing
2,MorphinTime
1,ResidentSleeper
2,Seemsgood
0,monkaOMEGA
1,Wutface
2,AYAYA
1,TheThing
1,Keepo
0,BrokeBack
2,widepeepoHappy
2,CoolStoryBob
1,3Head
1,YEP
0,Pepega
1,KKona
2,FeelsBirthdayMan
